"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"040","FRF","05","IN","V_USD_1000",1998,10.178,""
"040","AYS","05","IN","V_USD_1000",1998,0,"N"
"040","WHF","05","IN","V_USD_1000",1998,6.786,""
"040","SOM","05","IN","V_USD_1000",1998,13.571,""
"040","SLX","05","IN","V_USD_1000",1998,9.694,""
"040","FCP","05","IN","V_USD_1000",1998,1734.368,""
"040","FTE","05","IN","V_USD_1000",1998,20.357,""
"040","ACH","05","IN","V_USD_1000",1998,6.462,""
"040","FPI","05","IN","V_USD_1000",1998,10.178,""
"040","FCY","05","IN","V_USD_1000",1998,13.571,""
"040","CAF","05","IN","V_USD_1000",1999,3.134,""
"040","FPP","05","IN","V_USD_1000",1999,12.534,""
"040","TRR","05","IN","V_USD_1000",1999,7856.851,""
"040","WHF","05","IN","V_USD_1000",1999,3.134,""
"040","AYS","05","IN","V_USD_1000",1999,0,"N"
"040","FCP","05","IN","V_USD_1000",1999,1540.238,""
"040","FRF","05","IN","V_USD_1000",1999,25.069,""
"040","SLX","05","IN","V_USD_1000",1999,31.064,""
"040","FPI","05","IN","V_USD_1000",1999,9.401,""
"040","SOM","05","IN","V_USD_1000",1999,9.401,""
"040","TRS","05","IN","V_USD_1000",1999,538.436,""
"040","STU","05","IN","V_USD_1000",1999,3.134,""
"040","FCY","05","IN","V_USD_1000",1999,62.672,""
"040","BIC","05","IN","V_USD_1000",1999,3.134,""
"040","SVF","05","IN","V_USD_1000",1999,988.859,""
"040","FTE","05","IN","V_USD_1000",1999,47.004,""
